label,x,y,width,height,area_px,sum_intensity,mean_intensity,bg_mean,bg_sum,bg_area_px,corrected_sum_intensity,corrected_mean_intensity
lane1,15,152,90,40,3600,473850,131.625,0.063,228,3600,473622,131.562
lane2,110,165,90,40,3600,445902,123.862,0.056,200,3600,445702,123.806
lane3,210,165,90,40,3600,345545,95.985,0.087,315,3600,345230,95.898
lane4,320,165,90,40,3600,292029,81.119,0.046,164,3600,291865,81.073
lane5,430,170,90,40,3600,137101,38.084,0.155,558,3600,136543,37.929
lane6,535,200,90,40,3600,356458,99.016,0.092,332,3600,356126,98.924
