label,x,y,width,height,area_px,sum_intensity,mean_intensity,bg_mean,bg_sum,bg_area_px,corrected_sum_intensity,corrected_mean_intensity
lane1,15,152,90,40,3600,473850.0,131.625,0.06333333333333334,228.0,3600,473622.0,131.56166666666667
lane2,110,165,90,40,3600,445902.0,123.86166666666666,0.05555555555555555,200.0,3600,445702.0,123.80611111111111
lane3,210,165,90,40,3600,345545.0,95.98472222222222,0.0875,315.0,3600,345230.0,95.89722222222223
lane4,320,165,90,40,3600,292029.0,81.11916666666667,0.04555555555555556,164.0,3600,291865.0,81.0736111111111
lane5,430,170,90,40,3600,137101.0,38.08361111111111,0.155,558.0,3600,136543.0,37.92861111111111
lane6,535,200,90,40,3600,356458.0,99.01611111111112,0.09222222222222222,332.0,3600,356126.0,98.92388888888888
